track_id,track_name,track_popularity,track_duration_ms,explicit_lyrics,release_date,danceability,energy,musical_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year
5LCuYStrxpoBkTiz66Yxs1,The Mooche,9,189894,0,2014-07-01,0.563,0.152,0,-14.428,0,0.0401,0.939,0.67,0.093,0.363,122.871,4,2014.0
2Iozv2zGP40cCj7NZVV8EG,Jubilee Stomp,9,154852,0,2014-07-01,0.66,0.257,5,-17.578,0,0.0469,0.972,0.879,0.11,0.908,128.896,4,2014.0
0FMah8dWjkxLKXXJBlSLpj,Cotton Club Stomp,9,173739,0,2014-07-01,0.797,0.426,0,-11.107,0,0.128,0.957,0.887,0.343,0.965,130.456,4,2014.0
7mW2krCDyLwIXn8sgde9wX,Rockin' in Rhythm,6,193171,0,2014-07-01,0.705,0.0886,0,-15.026,1,0.0705,0.973,0.192,0.112,0.683,86.795,4,2014.0
1sHULuyjjmmQL6vKduMfOD,Mood Indigo,6,188403,0,2014-07-01,0.619,0.0275,3,-22.171,1,0.0439,0.956,0.405,0.121,0.319,88.447,4,2014.0
7lMKzvBGBBVFRJHFFFEAeH,Echoes of the Jungle,5,205534,0,2014-07-01,0.575,0.22,3,-12.482,1,0.0355,0.99,0.762,0.255,0.577,114.904,4,2014.0
4DnCeXXSR4miroGaAVubqu,Black Beauty,3,181554,0,2014-07-01,0.592,0.283,3,-17.281,1,0.0384,0.993,0.815,0.214,0.587,139.994,4,2014.0
2sFX5pwonB9XZ8yOGqvPtE,Old Man Blues,3,186280,0,2014-07-01,0.757,0.281,3,-13.869,1,0.0591,0.907,0.543,0.108,0.796,124.823,4,2014.0
1A8ujByQrV183npEzOnUaZ,Lazy Duke,2,188358,0,2014-07-01,0.877,0.336,0,-10.449,0,0.067,0.985,0.117,0.169,0.659,109.246,4,2014.0
2B7p7q7U1q5cxNjPmFnBFb,Double Check Stomp,3,173478,0,2014-07-01,0.713,0.387,8,-11.817,1,0.126,0.893,0.908,0.0691,0.907,126.761,4,2014.0
40TcTDyr4SELK6c2k3PslP,Ring Dem Bells,2,176777,0,2014-07-01,0.822,0.226,0,-15.263,1,0.0888,0.939,0.881,0.286,0.889,115.997,4,2014.0
5yQS6CFVBX5SxqCdkFAB66,Syncopated Shuffle,2,165646,0,2014-07-01,0.748,0.437,7,-10.698,1,0.104,0.981,0.804,0.354,0.874,92.209,4,2014.0
4IB59p09Diweqamw9CWzCH,Shout 'Em Aunt Tillie,2,177535,0,2014-07-01,0.629,0.246,10,-11.803,1,0.0841,0.939,0.211,0.148,0.747,154.012,4,2014.0
3xiY5ajqSnRZF1wy8Xf01r,The New East St. Louis Toodle-O,4,184386,0,2014-07-01,0.646,0.356,0,-13.297,0,0.0717,0.971,0.851,0.131,0.638,78.817,4,2014.0
4nsw1qtQyhVJGfpiiJRstn,Tiger Rag,2,340689,0,2014-07-01,0.616,0.468,8,-12.042,1,0.0598,0.972,0.854,0.507,0.967,136.532,4,2014.0
0GAnm0wBRSzpfUP9D8yG4g,Big House Blues,1,181752,0,2014-07-01,0.597,0.104,0,-16.553,0,0.0618,0.973,0.231,0.145,0.635,115.405,4,2014.0
0t6aYYVzj83gMt0eTRCYuk,Limehouse Blues,2,189844,0,2014-07-01,0.654,0.39,5,-10.352,0,0.0308,0.99,0.859,0.111,0.6,93.782,4,2014.0
3HhOjme9o6qwIr28TtWQLi,Swampy River,1,170234,0,2014-07-01,0.576,0.334,5,-15.952,0,0.0353,0.995,0.861,0.271,0.54,100.401,4,2014.0
5JdLacytiGoeW6LEUPmBQm,Hop Head,2,176117,0,2014-07-01,0.714,0.611,5,-9.069,1,0.0604,0.987,0.876,0.265,0.917,120.357,4,2014.0
5elyJWpvxqDvjg081BOOBn,Sweet Dreams of Love,2,206030,0,2014-07-01,0.476,0.181,5,-13.869,1,0.0414,0.985,0.871,0.254,0.346,108.473,4,2014.0
